2026-03-04T22:20:06.539625Z | container_restarted | tft-trading-engine-engine-eth-1
2026-03-04T22:20:07.161723Z | issues_detected | xrp (tft-trading-engine-engine-xrp-1): ['No trades for > 6 hours']
2026-03-04T22:20:16.253459Z | container_restarted | tft-trading-engine-engine-xrp-1
2026-03-04T22:20:16.421815Z | issues_detected | doge (tft-trading-engine-engine-doge-1): ['log_match:Model load failed', 'No trades for > 6 hours']
2026-03-04T22:20:34.004574Z | container_restarted | tft-trading-engine-engine-doge-1
2026-03-04T22:48:58.763198Z | issues_detected | btc (tft-trading-engine-engine-btc-1): ['log_match:CRITICAL', 'No trades for > 6 hours']
2026-03-04T22:49:13.987879Z | container_restarted | tft-trading-engine-engine-btc-1
2026-03-04T22:49:13.993204Z | repeated_failure_logged | btc: ['log_match:CRITICAL', 'No trades for > 6 hours'] (failure_count=2). NOT writing tft_disabled.flag — engine manages its own fallback mode.
2026-03-04T22:49:45.470428Z | container_restarted | tft-trading-engine-engine-btc-1
2026-03-04T22:49:45.900444Z | issues_detected | eth (tft-trading-engine-engine-eth-1): ['No trades for > 6 hours']
2026-03-04T22:50:12.678340Z | container_restarted | tft-trading-engine-engine-eth-1
2026-03-04T22:50:12.747730Z | repeated_failure_logged | eth: ['No trades for > 6 hours'] (failure_count=2). NOT writing tft_disabled.flag — engine manages its own fallback mode.
2026-03-04T22:50:46.113596Z | container_restarted | tft-trading-engine-engine-eth-1
2026-03-04T22:50:46.911847Z | issues_detected | xrp (tft-trading-engine-engine-xrp-1): ['No trades for > 6 hours']
2026-03-04T22:51:01.569546Z | container_restarted | tft-trading-engine-engine-xrp-1
2026-03-04T22:51:01.574921Z | repeated_failure_logged | xrp: ['No trades for > 6 hours'] (failure_count=2). NOT writing tft_disabled.flag — engine manages its own fallback mode.
2026-03-04T22:51:32.683946Z | container_restarted | tft-trading-engine-engine-xrp-1
2026-03-04T22:51:32.905183Z | issues_detected | doge (tft-trading-engine-engine-doge-1): ['log_match:Model load failed', 'No trades for > 6 hours']
2026-03-04T22:51:44.172144Z | container_restarted | tft-trading-engine-engine-doge-1
2026-03-04T22:51:44.176381Z | repeated_failure_logged | doge: ['log_match:Model load failed', 'No trades for > 6 hours'] (failure_count=2). NOT writing tft_disabled.flag — engine manages its own fallback mode.
2026-03-04T22:52:15.335473Z | container_restarted | tft-trading-engine-engine-doge-1
2026-03-04T23:18:59.239959Z | issues_detected | btc (tft-trading-engine-engine-btc-1): ['No trades for > 6 hours']
2026-03-04T23:19:15.054072Z | container_restarted | tft-trading-engine-engine-btc-1
2026-03-04T23:19:15.057232Z | repeated_failure_logged | btc: ['No trades for > 6 hours'] (failure_count=3). NOT writing tft_disabled.flag — engine manages its own fallback mode.
2026-03-04T23:19:45.904094Z | container_restarted | tft-trading-engine-engine-btc-1
2026-03-04T23:19:46.327246Z | issues_detected | eth (tft-trading-engine-engine-eth-1): ['No trades for > 6 hours']
2026-03-04T23:20:01.890365Z | container_restarted | tft-trading-engine-engine-eth-1
2026-03-04T23:20:01.903724Z | repeated_failure_logged | eth: ['No trades for > 6 hours'] (failure_count=3). NOT writing tft_disabled.flag — engine manages its own fallback mode.
2026-03-04T23:20:33.089791Z | container_restarted | tft-trading-engine-engine-eth-1
2026-03-04T23:20:33.444051Z | issues_detected | xrp (tft-trading-engine-engine-xrp-1): ['log_match:CRITICAL', 'No trades for > 6 hours']
2026-03-04T23:20:45.508250Z | container_restarted | tft-trading-engine-engine-xrp-1
2026-03-04T23:20:45.510772Z | repeated_failure_logged | xrp: ['log_match:CRITICAL', 'No trades for > 6 hours'] (failure_count=3). NOT writing tft_disabled.flag — engine manages its own fallback mode.
2026-03-04T23:21:16.746648Z | container_restarted | tft-trading-engine-engine-xrp-1
2026-03-04T23:21:17.283358Z | issues_detected | doge (tft-trading-engine-engine-doge-1): ['log_match:Model load failed', 'No trades for > 6 hours']
2026-03-04T23:21:30.626978Z | container_restarted | tft-trading-engine-engine-doge-1
2026-03-04T23:21:30.640484Z | repeated_failure_logged | doge: ['log_match:Model load failed', 'No trades for > 6 hours'] (failure_count=3). NOT writing tft_disabled.flag — engine manages its own fallback mode.
2026-03-04T23:22:01.719659Z | container_restarted | tft-trading-engine-engine-doge-1
2026-03-05T00:30:38.366315Z | monitor_started | Engine monitor initialized
2026-03-05T00:30:39.220545Z | issues_detected | btc (tft-trading-engine-engine-btc-1): ['No trades for > 6 hours']
2026-03-05T00:31:10.127992Z | container_restarted | tft-trading-engine-engine-btc-1
2026-03-05T00:31:10.249632Z | issues_detected | eth (tft-trading-engine-engine-eth-1): ['No trades for > 6 hours']
2026-03-05T00:31:13.215878Z | container_restarted | tft-trading-engine-engine-eth-1
2026-03-05T00:31:13.360215Z | issues_detected | xrp (tft-trading-engine-engine-xrp-1): ['No trades for > 6 hours']
2026-03-05T00:31:16.836374Z | container_restarted | tft-trading-engine-engine-xrp-1
2026-03-05T00:31:16.987289Z | issues_detected | doge (tft-trading-engine-engine-doge-1): ['log_match:Model load failed', 'No trades for > 6 hours']
2026-03-05T00:31:20.472663Z | container_restarted | tft-trading-engine-engine-doge-1
